nta_id,cluster_id,market_type,demand_score,halal_supply_rate,gap_score,halal_cuisine_diversity,demand_per_capita,population,demand_ci_lo,demand_ci_hi,cluster_confidence,latent_demand_score,halal_cuisine_diversity_norm,total_restaurants,halal_restaurants,critical_rate,grade_a_rate,inspection_frequency,viability_score,risk_bucket,final_score,similar_ntas,rank
QN06,3,High Opportunity,0.602568975247251,0.0,0.5909042461335992,0.0,0.282882213382949,111988.0,0.4538614052441969,0.6170812092048242,0.508836993861475,0.3744838336493323,0.0,4,0,0.0,0.0,1.0,0.2855842660393672,High,0.5345061417602135,"BK25,BK27,QN35",19
QN43,2,Established Hub,0.8884590128779318,0.0666666666666666,0.369441231861477,1.0,0.3239919035174809,148071.0,0.6836153004161374,0.819858780914475,0.3211764136757556,0.5776561540017173,0.2,15,1,0.5714285714285714,0.3469387755102041,3.2666666666666666,0.14797890490292434,High,0.5327558788763485,"QN72,QN37,MN31",20
QN02,3,High Opportunity,0.540151914909483,0.0,0.666870720832752,0.0,0.0434807158126135,113004.0,0.3464217462693595,0.7254417241034161,0.6213358355894789,0.6324520880114238,0.0,46,0,0.5222222222222223,0.4166666666666667,3.9130434782608696,0.23098633053416512,High,0.5290063204037271,"QN18,BK68,BK09",21
QN35,3,High Opportunity,0.5742485350747423,0.0,0.6034438521512003,0.0,0.4210117668321063,148071.0,0.4494605323068043,0.5639270437296819,0.7489349979718536,0.4440921481107097,0.0,4,0,0.0,0.0,1.0,0.2855842660393672,High,0.5281938080982505,"BK25,QN06,MN28",22
BK27,3,High Opportunity,0.6149994810235557,0.0,0.5624179837733725,0.0,0.2642171475404381,148071.0,0.4678971267858967,0.6160075054659508,0.188223629660875,0.2942120977613095,0.0,4,0,0.0,0.0,1.0,0.2855842660393672,High,0.5280838391266447,"QN06,BK40,SI07",23
BK40,0,Low Demand,0.6333881622284144,0.0,0.5385998737707884,0.0,0.059573496946978,148071.0,0.4564978716052034,0.7644938395329591,0.0511055460170781,0.2151019824390422,0.0,4,0,0.0,0.0,1.0,0.2855842660393672,High,0.5259120676075546,"BK27,BX34,SI07",24
QN42,3,High Opportunity,0.621886786396475,0.0,0.5973804214943015,0.0,0.1553694467016536,148071.0,0.4610109272798006,0.6543338799784958,0.4704954438795967,0.3595174012593127,0.0,26,0,0.5161290322580645,0.3548387096774194,3.576923076923077,0.19092569840297502,High,0.5258920228369056,"QN20,BX29,BK60",25
BK61,1,Growing Market,0.6399364948102251,0.0140845070422535,0.5934571665913313,2.0,0.6303988075068098,148071.0,0.5028967911401985,0.6002780244580599,0.2788995335078557,0.5586972186695257,0.4,142,2,0.5069551777434312,0.29984544049459044,4.556338028169014,0.1578259733767904,High,0.5249226592359807,"QN17,BK58,BK42",26
MN28,3,High Opportunity,0.5388187650526586,0.0,0.5953555192353929,0.0,0.286882015304036,148071.0,0.415797965741527,0.5505633901130662,0.7801000582146153,0.4797388452249296,0.0,4,0,0.0,0.0,1.0,0.2855842660393672,High,0.510786566923094,"QN35,BK25,BK09",27
BK42,3,High Opportunity,0.6144385857758119,0.0147058823529411,0.5913672705819222,1.0,1.1577579677268646,148071.0,0.4950549913221728,0.5659741581976725,0.1863567627854886,0.6027791446135429,0.2,136,2,0.5322812051649928,0.25538020086083213,5.125,0.10897533612907248,High,0.5041174097689082,"SI45,BK61,QN17",28
