nta_id,cluster_id,market_type,demand_score,halal_supply_rate,gap_score,halal_cuisine_diversity,demand_per_capita,population,demand_ci_lo,demand_ci_hi,cluster_confidence,latent_demand_score,halal_cuisine_diversity_norm,total_restaurants,halal_restaurants
QN50,0,Low Demand,0.29138194601569456,0.0,0.40450846136234675,0.0,0.03632994823230668,148071.0,0.1637785593337348,0.39975734237535876,0.2890563455369347,0.4380236068534776,0.0,4,0
QN57,0,Low Demand,0.09387403494241144,0.0,0.12525854040928583,0.0,0.0,148071.0,0.006999423503975048,0.1423041014091059,0.614307523079747,0.1301679851556462,0.0,26,0
QN62,0,Low Demand,0.09387403494241144,0.0,0.12525854040928583,0.0,0.0,148071.0,0.006999423503975048,0.1423041014091059,0.614307523079747,0.1301679851556462,0.0,4,0
QN76,0,Low Demand,0.12880995918923244,0.0,0.23952578418920345,0.0,0.0277338779705864,148071.0,0.07795880913538362,0.23158720820245424,0.6106578678576656,0.3249650293087837,0.0,9,0
QN98,0,Low Demand,0.2923991084012819,0.018867924528301886,0.13723584116390886,1.0,0.05102877911907921,148071.0,0.18382839065111556,0.39298822760638585,0.37985250706809454,0.17275697051109867,0.2,53,1
SI05,0,Low Demand,0.528767753165599,0.01282051282051282,0.3647674818752662,1.0,0.0480212440870798,148071.0,0.34824488418985877,0.6651706317774464,0.14434951960087644,0.20964615275243514,0.2,78,1
SI08,0,Low Demand,0.2364028938107476,0.0,0.2845047268072408,0.0,0.02848846941955409,148071.0,0.1224192917228324,0.3421374590934541,0.8802265665785557,0.2608811727045429,0.0,4,0
SI11,0,Low Demand,0.5975588201543078,0.0,0.4744967412011857,0.0,0.05561719794995009,148071.0,0.4185178815607856,0.7313841201731328,0.27185532209157226,0.1301679851556462,0.0,41,0
SI24,0,Low Demand,0.06574079492214109,0.0,0.11718887999821573,0.0,0.004147503562480161,148071.0,0.015695698465137943,0.1413227449603534,0.5982333062318994,0.15491028257549097,0.0,4,0
SI28,0,Low Demand,0.4528364579409417,0.0,0.44843973227601597,0.0,0.08471298744997928,148071.0,0.3130091384555125,0.5356096879176087,0.44146070647031666,0.29088089556392366,0.0,31,0
SI37,0,Low Demand,0.492260113737192,0.0,0.4142505517418533,0.0,0.06797917178000203,148071.0,0.33233972577182286,0.5912790902535299,0.48200949926920217,0.15778198226101992,0.0,23,0
BK28,1,Growing Market,0.5263723866008301,0.0136986301369863,0.42319040373805245,1.0,0.24655868850581103,148071.0,0.4030749405314785,0.5467778842184863,0.22124777863240147,0.35426417359266954,0.2,146,2
BK33,1,Growing Market,0.2494309293806738,0.02631578947368421,0.18455480232744212,1.0,0.21472552737583933,148071.0,0.22020156608342728,0.32349812356288066,0.5018485654993842,0.46370816411253596,0.2,76,2
BK34,1,Growing Market,0.0,0.017142857142857144,0.0,2.0,0.01825337432957274,148071.0,0.028985196084236237,0.11253460622198692,0.02117998247373098,0.27734351058102236,0.4,175,3
BK37,1,Growing Market,0.43882903424654396,0.005555555555555556,0.4993522599709464,1.0,0.6079221678647824,148071.0,0.3661747279346683,0.4504641560255976,0.28593421686232734,0.5146266364495876,0.2,180,1
BK38,1,Growing Market,0.3511443962579049,0.029239766081871343,0.24017334429846818,3.0,0.5969595913084431,148071.0,0.30880522909522506,0.38467161580705034,0.40397491025368637,0.480193712602286,0.6,342,10
BK61,1,Growing Market,0.6399364948102251,0.014084507042253521,0.5934571665913313,2.0,0.6303988075068098,148071.0,0.5028967911401985,0.6002780244580599,0.2788995335078557,0.5586972186695257,0.4,142,2
BK64,1,Growing Market,0.4145176962371758,0.007518796992481203,0.4788426249449633,1.0,0.2598871603745177,148071.0,0.3292724731016667,0.4534827067532631,0.35960532512174165,0.5394446556357623,0.2,133,1
BK69,1,Growing Market,0.3490235765997498,0.013157894736842105,0.32357102321546666,1.0,0.29723114792047894,148071.0,0.29103128888028673,0.397198116415354,0.4098497345008292,0.3957627703006124,0.2,76,1
BK73,1,Growing Market,0.36415548700094924,0.010452961672473868,0.3925655635640229,2.0,0.7743026298592051,148071.0,0.3220302010140266,0.390054529749649,0.7285050321017198,0.47724256241450547,0.4,287,3
BK77,1,Growing Market,0.22074984658006136,0.008,0.3016072142933984,1.0,0.17496001273061756,148071.0,0.19698507230149115,0.3032990772199503,0.2718626449557308,0.4546928761984773,0.2,125,1
BK78,1,Growing Market,0.24812318029671457,0.011111111111111112,0.2590752771496885,1.0,0.16706434631690645,148071.0,0.21140491209612922,0.3268902143912134,0.05955351034891583,0.37347293047133034,0.2,90,1
BK79,1,Growing Market,0.36596096652631216,0.03125,0.1896257466028322,1.0,0.05905468453529517,148071.0,0.23602805827255566,0.46488118896380815,0.48253087815667234,0.382120217235826,0.2,32,1
BK83,1,Growing Market,0.6190970742233255,0.05,0.38100416255922304,1.0,0.12247506050592266,148071.0,0.45350934526176523,0.6704298079793313,0.06411248342827926,0.7289360402593458,0.2,60,3
MN12,1,Growing Market,0.3653835212820931,0.02030456852791878,0.34527045996690225,1.0,0.7422031377909585,190020.0,0.3262640446022731,0.3877809677775051,0.6043594254829272,0.5372777283878983,0.2,197,4
MN13,1,Growing Market,0.4089196643031852,0.01107011070110701,0.4658898855557746,2.0,0.9291869118778063,148071.0,0.35427250363261803,0.4202200896535083,0.6068862950434373,0.5790088558520725,0.4,271,3
