nta_id,cluster_id,market_type,demand_score,halal_supply_rate,gap_score,halal_cuisine_diversity,demand_per_capita,population,demand_ci_lo,demand_ci_hi,cluster_confidence,latent_demand_score,halal_cuisine_diversity_norm,total_restaurants,halal_restaurants,critical_rate,grade_a_rate,inspection_frequency,viability_score,final_score,similar_ntas,rank,high_risk_prob,risk_bucket,risk_component,risk_confidence,halal_demand_forecast,new_halal_entry_forecast,moran_ii,moran_p,moran_q,lisa_opportunity,halal_demand_forecast_norm,final_score_adjusted
BK42,3,High Opportunity,0.6144385857758119,0.0147058823529411,0.5913672705819222,1.0,1.1577579677268646,148071.0,0.4950549913221728,0.5659741581976725,0.1863567627854886,0.6027791446135429,0.2,136,2,0.5322812051649928,0.2553802008608321,5.125,0.1089753361290724,0.5041174097689082,"SI45,BK61,QN17",36,1.0,High,Medium-High Risk,High confidence,0.5210031670146805,0.0,0.0,1.0,LL,False,0.4724740023616487,0.4487452997751367
QN34,3,High Opportunity,0.5963235765883945,0.0,0.5828610629714672,0.0,0.2223970588834079,148071.0,0.4502141104803659,0.6097029108352534,0.4655993855692654,0.3664516487894688,0.0,44,0,0.5441860465116279,0.2790697674418604,4.886363636363637,0.1178689841142737,0.4952476526467995,"BX39,SI54,QN20",37,1.0000000000000002,High,Medium-High Risk,High confidence,0.5991607484451652,0.0,0.0,1.0,LL,False,0.5646379126263857,0.4447295308197861
BK21,3,High Opportunity,0.4870325124750719,0.0,0.6932238647202489,0.0,0.0166415098162368,148071.0,0.2594747558771003,0.7310342810006131,0.3403118076261567,0.7691424704486969,0.0,31,0,0.525,0.3,3.870967741935484,0.1457640454834984,0.5012553599748281,"MN25,MN17,MN35",38,1.0,High,Medium-High Risk,High confidence,0.46014508953118993,0.0,0.0,1.0,LL,False,0.40070977566200916,0.44313997942041977
SI54,3,High Opportunity,0.5707269918239078,0.0,0.6262817992536821,0.0,0.133286147515644,148071.0,0.4173636301612797,0.6190188508048489,0.8864096336766482,0.4987811134689711,0.0,24,0,0.5671641791044776,0.2686567164179104,2.7916666666666665,0.0949295663280311,0.4977894296966422,"BX39,QN34,QN53",39,0.9999999999999999,High,High Risk,High confidence,0.46014508953118993,0.0,0.0,1.0,LL,False,0.40070977566200916,0.4400758879517021
QN20,3,High Opportunity,0.5771768175342984,0.0,0.5719070628289232,0.0,0.3177343805482098,148071.0,0.4451291947792474,0.577049592264535,0.4545793903676673,0.3714743659695561,0.0,144,0,0.5294117647058824,0.3320683111954459,3.6597222222222223,0.1656981436576586,0.4927731808768204,"BK60,QN42,BX39",40,1.0,High,Medium-High Risk,High confidence,0.5224580592863408,0.0,0.0,1.0,LL,False,0.474189620454174,0.4387189775921453
BX26,3,High Opportunity,0.4211783602438567,0.0,0.4841754705253329,0.0,0.0,0.0,0.1425593167100307,0.6795394162781817,0.1005776645324353,0.4156772293792211,0.0,4,0,0.0,0.0,1.0,0.2855842660393672,0.4192583855155493,"BK17,MN03,BK63",41,2.422860269703513e-92,Low,Medium-Low Risk,Low confidence,0.46014508953118993,0.0,0.0,1.0,LL,False,0.40070977566200916,0.4360584788759845
BX39,3,High Opportunity,0.5817683065141892,0.0,0.5884901760643513,0.0,0.0913886072006096,148071.0,0.4154030934982594,0.6597637239554919,0.5897275111312774,0.40046233948964,0.0,44,0,0.5247524752475248,0.2673267326732673,4.590909090909091,0.1225887199659464,0.4926211370246055,"QN34,SI54,QN20",42,1.0,High,Medium-High Risk,High confidence,0.46014508953118993,0.0,0.0,1.0,LL,False,0.40070977566200916,0.43550680542171166
MN99,0,Low Demand,0.2069062323168662,0.0,0.3239993384427695,0.0,0.0478822010922049,148071.0,0.1359861775446653,0.3080686155794019,0.525775250725472,0.3905671401890299,0.0,4,0,0.0,1.0,1.0,1.0,0.4123622283038543,"SI08,BK23,BK46",43,9.305810926307315e-46,Low,Low Risk,Low confidence,0.46014508953118993,0.0,0.0,1.0,LL,False,0.40070977566200916,0.42888598590336663
SI12,3,High Opportunity,0.5501621392057167,0.0,0.6454757166817603,0.0,0.2005754526425664,148071.0,0.4140256938028098,0.5763463254050701,0.7726346041095832,0.5711517029413883,0.0,20,0,0.5465116279069767,0.1162790697674418,4.3,0.0,0.4782551423549908,"QN53,SI54,QN55",44,0.9999999999999996,High,Medium-High Risk,High confidence,0.5526597515852459,0.0,0.0,1.0,LL,False,0.5098036454525705,0.4272412492792083
SI08,0,Low Demand,0.2364028938107476,0.0,0.2845047268072408,0.0,0.028488469419554,148071.0,0.1224192917228324,0.3421374590934541,0.8802265665785557,0.2608811727045429,0.0,4,0,0.0,1.0,1.0,1.0,0.4083630482471954,"MN99,BK23,BK46",45,1.1491194486760914e-45,Low,Low Risk,Low confidence,0.46014508953118993,0.0,0.0,1.0,LL,False,0.40070977566200916,0.4247265547923742
